name,price
Suzuki Every VXR,"PKR 2,965,200Get On Road PriceLast Updated: 03-03-2026"
Suzuki Alto VXR Upgraded,"PKR 2,994,861Get On Road PriceLast Updated: 23-10-2025"
Suzuki Alto VXR AGS Upgraded,"PKR 3,166,480Get On Road Price"
Suzuki Alto VXL AGS Upgraded,"PKR 3,326,446Get On Road Price"
Suzuki Cultus VXR,"PKR 4,089,490Get On Road Price"
Suzuki Cultus VXL,"PKR 4,359,160Get On Road Price"
Suzuki Cultus Auto Gear Shift,"PKR 4,591,460Get On Road Price"
Suzuki Swift GL Manual,"PKR 4,460,160Get On Road Price"
Suzuki Swift GL CVT,"PKR 4,605,600Get On Road Price"
Suzuki Swift GLX CVT,"PKR 4,766,190Get On Road Price"
Suzuki Fronx GL M/T,"PKR 5,999,999Get On Road PriceLast Updated: 07-05-2026"
Suzuki Fronx GL A/T,"PKR 6,099,999Get On Road PriceLast Updated: 07-05-2026"
Suzuki Fronx GLX A/T Mono Tone,"PKR 6,299,999Get On Road PriceLast Updated: 07-05-2026"
Suzuki Fronx GLX A/T,"PKR 6,374,999Get On Road PriceLast Updated: 07-05-2026"
